waveform_id,fault_location,load,rpm,fault_type,fault_size,signal_location,fs,duration,bpfo,bpfi,bsf,ftf,inner,outer,ball,multiclass_label,signal,group
IR_14_FE_DE_12_3HP,FE,3,1730,IR,14,DE,12000,10.097333333333333,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[-0.021279   -0.15171441 -0.02972563 ... -0.09843569 -0.08267948
  0.07342068]",FE_IR_14
IR_14_DE_FE_12_3HP,DE,3,1730,IR,14,FE,12000,10.14175,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[-0.02855818 -0.11895818 -0.05896545 ...  0.02486     0.06903273
  0.14053091]",DE_IR_14
B_7_DE_FE_12_3HP,DE,3,1730,B,7,FE,12000,10.129666666666667,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[ 0.07232    -0.00780727  0.12327273 ... -0.08834545 -0.18922364
 -0.15861091]",DE_B_7
OR@3_21_FE_DE_12_3HP,FE,3,1730,OR,21,DE,12000,10.112583333333333,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[ 0.09551186 -0.0046294  -0.04978637 ... -0.06123804  0.07991808
  0.1854197 ]",FE_OR_21
OR@3_21_FE_FE_12_3HP,FE,3,1730,OR,21,FE,12000,10.112583333333333,3.053,4.9469,3.9874,0.3817,0,1,0,2,"[-0.11007844 -0.1128426   0.05260026 ... -0.14495558  0.07780286
  0.26178182]",FE_OR_21
B_21_FE_FE_12_0HP,FE,0,1797,B,21,FE,12000,10.112583333333333,3.053,4.9469,3.9874,0.3817,0,0,1,3,"[-0.03008052  0.05121818  0.         ... -0.00040649  0.04064935
  0.02113766]",FE_B_21
OR@6_14_DE_FE_12_0HP,DE,0,1797,OR,14,FE,12000,10.153833333333333,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[ 0.12080727 -0.19785273  0.38502182 ...  0.18778545  0.16313091
 -0.04663818]",DE_OR_14
B_21_DE_FE_12_0HP,DE,0,1797,B,21,FE,12000,10.165916666666666,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[ 0.09122182 -0.07211455 -0.03862545 ... -0.05424    -0.05526727
  0.03739273]",DE_B_21
OR@6_7_FE_DE_12_0HP,FE,0,1797,OR,7,DE,12000,10.097333333333333,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[-0.13384655  0.00292383 -0.02745154 ... -0.08121756 -0.10493309
  0.03248703]",FE_OR_7
B_14_FE_FE_12_0HP,FE,0,1797,B,14,FE,12000,10.173833333333333,3.053,4.9469,3.9874,0.3817,0,0,1,3,"[ 0.10365584  0.11463117 -0.06463247 ... -0.02438961  0.18007662
 -0.11422468]",FE_B_14
OR@6_7_DE_DE_12_0HP,DE,0,1797,OR,7,DE,12000,10.165916666666666,3.5848,5.4152,4.7135,0.39828,0,1,0,2,"[ 0.00852784  0.4235496   0.01299481 ...  0.17583603  0.1100498
 -0.10274022]",DE_OR_7
OR@6_14_FE_DE_12_0HP,FE,0,1797,OR,14,DE,12000,10.082,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[-1.24896371 -0.18761257  1.69387353 ...  0.1086691  -0.08154244
 -0.17429289]",FE_OR_14
IR_7_DE_DE_12_0HP,DE,0,1797,IR,7,DE,12000,10.105416666666667,3.5848,5.4152,4.7135,0.39828,1,0,0,1,"[-0.08300435 -0.19573433  0.23341928 ... -0.31642363 -0.06367457
  0.26736822]",DE_IR_7
OR@6_14_FE_FE_12_0HP,FE,0,1797,OR,14,FE,12000,10.082,3.053,4.9469,3.9874,0.3817,0,1,0,2,"[ 0.29836623 -0.1691013  -0.1252     ... -0.08495714  0.11178571
  0.28982987]",FE_OR_14
OR@6_21_DE_FE_12_0HP,DE,0,1797,OR,21,FE,12000,10.202166666666667,3.053,4.9469,3.9874,0.3817,0,0,0,0,[0.10909636 0.09800182 0.03780364 ... 0.03081818 0.09163273 0.03616   ],DE_OR_21
IR_14_FE_FE_12_0HP,FE,0,1797,IR,14,FE,12000,10.112583333333333,3.053,4.9469,3.9874,0.3817,1,0,0,1,"[ 0.06048623 -0.00829247  0.08422545 ...  0.08666442  0.0939813
 -0.14552468]",FE_IR_14
OR@6_7_DE_FE_12_0HP,DE,0,1797,OR,7,FE,12000,10.165916666666666,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[-0.40700545  0.26277636  0.49514545 ...  0.05958182 -0.05074727
  0.02732545]",DE_OR_7
OR@6_21_FE_DE_12_0HP,FE,0,1797,OR,21,DE,12000,10.051416666666666,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[-1.13542156  0.13116637  0.98760559 ...  0.16487166  0.22213004
  0.09055758]",FE_OR_21
IR_21_DE_DE_12_0HP,DE,0,1797,IR,21,DE,12000,10.178,3.5848,5.4152,4.7135,0.39828,1,0,0,1,"[ 1.18943124 -0.17786647 -0.77481557 ... -0.03208094 -0.27573363
  0.08649671]",DE_IR_21
IR_21_DE_FE_12_0HP,DE,0,1797,IR,21,FE,12000,10.178,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[ 0.21572727 -0.03821455  0.04684364 ... -0.09348182 -0.29749818
 -0.03246182]",DE_IR_21
OR@6_14_DE_DE_12_0HP,DE,0,1797,OR,14,DE,12000,10.153833333333333,3.5848,5.4152,4.7135,0.39828,0,1,0,2,"[ 0.00227353 -0.1049479   0.08200958 ... -0.11237749 -0.08529808
 -0.02626743]",DE_OR_14
B_21_FE_DE_12_0HP,FE,0,1797,B,21,DE,12000,10.112583333333333,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[-0.00284261  0.06091317  0.10517675 ... -0.083248   -0.15959251
 -0.08852715]",FE_B_21
IR_7_DE_FE_12_0HP,DE,0,1797,IR,7,FE,12000,10.105416666666667,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[-0.40207455 -0.00472545 -0.10663091 ...  0.31598909  0.35091636
  0.03307818]",DE_IR_7
B_21_DE_DE_12_0HP,DE,0,1797,B,21,DE,12000,10.165916666666666,3.5848,5.4152,4.7135,0.39828,0,0,1,3,"[-0.00795932  0.02533988  0.00016244 ...  0.10558283 -0.07829373
 -0.02306579]",DE_B_21
IR_21_FE_FE_12_0HP,FE,0,1797,IR,21,FE,12000,10.097333333333333,3.053,4.9469,3.9874,0.3817,1,0,0,1,"[ 0.77312545  0.52432    -0.60814545 ... -0.01540909  0.15552909
 -0.40906   ]",FE_IR_21
B_7_FE_DE_12_0HP,FE,0,1797,B,7,DE,12000,10.097333333333333,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[-0.16812036  0.1812776   0.04434479 ...  0.00990854  0.10785693
  0.01656838]",FE_B_7
B_14_DE_DE_12_0HP,DE,0,1797,B,14,DE,12000,10.153833333333333,3.5848,5.4152,4.7135,0.39828,0,0,1,3,"[-0.46781317  0.17900351  0.48129529 ... -0.33770263 -0.16909497
  0.17786647]",DE_B_14
IR_21_FE_DE_12_0HP,FE,0,1797,IR,21,DE,12000,10.097333333333333,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[-0.58912985  0.01960985  0.31813846 ...  0.30687323 -0.05090215
 -0.21883754]",FE_IR_21
IR_14_DE_DE_12_0HP,DE,0,1797,IR,14,DE,12000,10.153833333333333,3.5848,5.4152,4.7135,0.39828,1,0,0,1,"[-0.22383561 -0.20954132  0.34533709 ...  0.04775593 -0.07666938
  0.00308627]",DE_IR_14
B_7_FE_FE_12_0HP,FE,0,1797,B,7,FE,12000,10.097333333333333,3.053,4.9469,3.9874,0.3817,0,0,1,3,"[ 0.31966649  0.32617039 -0.26048104 ...  0.02975532  0.13950857
  0.05544571]",FE_B_7
B_14_FE_DE_12_0HP,FE,0,1797,B,14,DE,12000,10.173833333333333,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[-0.14700379 -0.0332992   0.10761327 ...  0.06050709  0.22700309
  0.13238463]",FE_B_14
IR_7_FE_FE_12_0HP,FE,0,1797,IR,7,FE,12000,10.127916666666666,3.053,4.9469,3.9874,0.3817,1,0,0,1,"[-0.05121818 -0.19219013  0.05121818 ... -0.04097455 -0.00276416
  0.55234338]",FE_IR_7
B_14_DE_FE_12_0HP,DE,0,1797,B,14,FE,12000,10.153833333333333,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[ 0.09697455  0.27058364  0.13642182 ... -0.02547636  0.19168909
 -0.04663818]",DE_B_14
OR@6_7_FE_FE_12_0HP,FE,0,1797,OR,7,FE,12000,10.097333333333333,3.053,4.9469,3.9874,0.3817,0,1,0,2,"[ 0.12723247 -0.25893636 -0.05975455 ... -0.20609221  0.12804545
  0.01747922]",FE_OR_7
B_7_DE_DE_12_0HP,DE,0,1797,B,7,DE,12000,10.21425,3.5848,5.4152,4.7135,0.39828,0,0,1,3,"[-0.0027614  -0.09632403  0.11370459 ... -0.07829373 -0.14911545
  0.02111657]",DE_B_7
IR_7_FE_DE_12_0HP,FE,0,1797,IR,7,DE,12000,10.127916666666666,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[-0.02501501 -0.02891345 -0.04645645 ...  0.04337018  0.02257848
 -0.11597868]",FE_IR_7
OR@6_21_DE_DE_12_0HP,DE,0,1797,OR,21,DE,12000,10.202166666666667,3.5848,5.4152,4.7135,0.39828,0,1,0,2,"[ 0.10436457  0.01746178  0.11654721 ...  0.13319681  0.21075958
 -0.58639082]",DE_OR_21
IR_14_FE_DE_12_0HP,FE,0,1797,IR,14,DE,12000,10.112583333333333,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[-0.15918643 -0.13287194  0.16048591 ... -0.31642363  0.06172535
  0.36953992]",FE_IR_14
OR@6_21_FE_FE_12_0HP,FE,0,1797,OR,21,FE,12000,10.051416666666666,3.053,4.9469,3.9874,0.3817,0,1,0,2,"[ 0.55892857 -1.33858312 -1.46703506 ...  0.09186753 -0.45486623
 -0.34470649]",FE_OR_21
IR_14_DE_FE_12_0HP,DE,0,1797,IR,14,FE,12000,10.153833333333333,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[ 0.11032909 -0.18963455  0.16292545 ... -0.00801273  0.07642909
 -0.00513636]",DE_IR_14
B_7_DE_FE_12_0HP,DE,0,1797,B,7,FE,12000,10.21425,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[-0.24716182  0.14279091  0.00328727 ...  0.01643636 -0.03842
 -0.16806182]",DE_B_7
B_21_FE_FE_12_2HP,FE,2,1750,B,21,FE,12000,10.127916666666666,3.053,4.9469,3.9874,0.3817,0,0,1,3,"[ 0.08333117  0.00934935 -0.12235455 ...  0.02113766  0.13617532
 -0.12804545]",FE_B_21
OR@6_14_DE_FE_12_2HP,DE,2,1750,OR,14,FE,12000,10.153833333333333,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[ 0.09389273  0.15142     0.21860364 ...  0.11505455 -0.17093818
  0.13477818]",DE_OR_14
B_21_DE_FE_12_2HP,DE,2,1750,B,21,FE,12000,10.178,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[ 0.0678      0.12491636  0.11546545 ...  0.10396     0.10437091
 -0.01931273]",DE_B_21
OR@6_7_FE_DE_12_2HP,FE,2,1750,OR,7,DE,12000,10.097333333333333,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[-0.12085174 -0.11776547  0.0721212  ...  0.01234507 -0.15512555
 -0.03573573]",FE_OR_7
B_14_FE_FE_12_2HP,FE,2,1750,B,14,FE,12000,10.189083333333333,3.053,4.9469,3.9874,0.3817,0,0,1,3,"[-0.03048701 -0.04146234  0.01463377 ...  0.05406364 -0.02886104
  0.1565    ]",FE_B_14
OR@6_7_DE_DE_12_2HP,DE,2,1750,OR,7,DE,12000,10.1175,3.5848,5.4152,4.7135,0.39828,0,1,0,2,"[-0.02964441  0.11938982  0.06253752 ...  0.6538014  -0.35045379
 -1.07856926]",DE_OR_7
IR_7_DE_DE_12_2HP,DE,2,1750,IR,7,DE,12000,10.178,3.5848,5.4152,4.7135,0.39828,1,0,0,1,"[-0.09323776  0.1872877   0.21766307 ...  0.06562379 -0.184039
 -0.04044635]",DE_IR_7
OR@6_21_DE_FE_12_2HP,DE,2,1750,OR,21,FE,12000,10.190083333333334,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[ 0.36016182  0.04889818 -0.03842    ...  0.21059091 -0.28517091
  0.17669091]",DE_OR_21
IR_14_FE_FE_12_2HP,FE,2,1750,IR,14,FE,12000,10.112583333333333,3.053,4.9469,3.9874,0.3817,1,0,0,1,"[ 0.16032104  0.12682597  0.05089299 ...  0.03333247  0.05333195
 -0.10162338]",FE_IR_14
OR@6_7_DE_FE_12_2HP,DE,2,1750,OR,7,FE,12000,10.1175,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[ 0.07190909  0.36591455  0.30694909 ... -0.18655273  0.20935818
 -0.07047091]",DE_OR_7
OR@3_14_FE_FE_12_2HP,FE,2,1750,OR,14,FE,12000,10.082,3.053,4.9469,3.9874,0.3817,0,1,0,2,"[ 0.14024026 -0.26259481 -0.2504     ... -0.50974286 -0.27031818
  0.04227532]",FE_OR_14
IR_21_DE_DE_12_2HP,DE,2,1750,IR,21,DE,12000,10.153833333333333,3.5848,5.4152,4.7135,0.39828,1,0,0,1,"[-0.40202695  0.54821856  0.93156547 ...  0.2367492   0.120202
 -0.27817016]",DE_IR_21
OR@3_14_FE_DE_12_2HP,FE,2,1750,OR,14,DE,12000,10.082,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[-0.05636499  0.0147816   0.16519653 ...  0.29709385  0.09648647
 -0.19378511]",FE_OR_14
IR_21_DE_FE_12_2HP,DE,2,1750,IR,21,FE,12000,10.153833333333333,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[-0.05896545  0.22148     0.04417273 ... -0.25209273  0.15368
 -0.22928727]",DE_IR_21
OR@6_14_DE_DE_12_2HP,DE,2,1750,OR,14,DE,12000,10.153833333333333,3.5848,5.4152,4.7135,0.39828,0,1,0,2,"[ 0.16682048  0.03564575 -0.0371479  ... -0.15037796 -0.0950418
 -0.03174826]",DE_OR_14
B_21_FE_DE_12_2HP,FE,2,1750,B,21,DE,12000,10.127916666666666,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[-0.14172465 -0.04101487  0.06903493 ... -0.12060808 -0.04548184
 -0.01055828]",FE_B_21
IR_7_DE_FE_12_2HP,DE,2,1750,IR,7,FE,12000,10.178,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[-0.02917455 -0.18634727 -0.34126    ...  0.08485273  0.06718364
 -0.09430364]",DE_IR_7
B_21_DE_DE_12_2HP,DE,2,1750,B,21,DE,12000,10.178,3.5848,5.4152,4.7135,0.39828,0,0,1,3,"[ 0.25404854 -0.05003002 -0.01315725 ... -0.13790743  0.08040539
  0.20856671]",DE_B_21
IR_21_FE_FE_12_2HP,FE,2,1750,IR,21,FE,12000,10.082,3.053,4.9469,3.9874,0.3817,1,0,0,1,"[-0.00883455 -0.07622364  0.21326182 ...  0.15224182  0.03205091
 -0.06985455]",FE_IR_21
B_7_FE_DE_12_2HP,FE,2,1750,B,7,DE,12000,10.14325,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[-0.14781597 -0.09746108  0.06546136 ... -0.00389844  0.01153289
  0.07959321]",FE_B_7
B_14_DE_DE_12_2HP,DE,2,1750,B,14,DE,12000,10.165916666666666,3.5848,5.4152,4.7135,0.39828,0,0,1,3,"[ 0.0688725   0.04288287  0.05360359 ... -0.04824323  0.11354216
  0.21603872]",DE_B_14
IR_21_FE_DE_12_2HP,FE,2,1750,IR,21,DE,12000,10.082,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[-0.13664308 -0.04360062  0.12120554 ... -0.24220246 -0.16167692
  0.07843938]",FE_IR_21
IR_14_DE_DE_12_2HP,DE,2,1750,IR,14,DE,12000,10.153833333333333,3.5848,5.4152,4.7135,0.39828,1,0,0,1,"[-0.02663936  0.02647693  0.1262121  ...  0.05896395  0.05555281
 -0.13027297]",DE_IR_14
B_7_FE_FE_12_2HP,FE,2,1750,B,7,FE,12000,10.14325,3.053,4.9469,3.9874,0.3817,0,0,1,3,"[ 0.06325039  0.08324987  0.05495792 ...  0.08975377  0.21349039
 -0.04699065]",FE_B_7
B_14_FE_DE_12_2HP,FE,2,1750,B,14,DE,12000,10.189083333333333,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[ 0.08527844  0.10152196 -0.07634451 ...  0.0966489   0.00812176
 -0.12060808]",FE_B_14
IR_7_FE_FE_12_2HP,FE,2,1750,IR,7,FE,12000,10.112583333333333,3.053,4.9469,3.9874,0.3817,1,0,0,1,"[ 0.13284208  0.23934338 -0.10113558 ...  0.05316935  0.03512104
  0.01121922]",FE_IR_7
B_14_DE_FE_12_2HP,DE,2,1750,B,14,FE,12000,10.165916666666666,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[ 0.07396364  0.08115455  0.17792364 ...  0.06451273 -0.06759455
  0.10683636]",DE_B_14
OR@6_7_FE_FE_12_2HP,FE,2,1750,OR,7,FE,12000,10.097333333333333,3.053,4.9469,3.9874,0.3817,0,1,0,2,"[-0.02398312  0.13332987 -0.07682727 ... -0.17967013  0.03373896
  0.42763117]",FE_OR_7
B_7_DE_DE_12_2HP,DE,2,1750,B,7,DE,12000,10.129666666666667,3.5848,5.4152,4.7135,0.39828,0,0,1,3,"[-0.31447441  0.12198878  0.39146866 ...  0.01900491  0.21067836
  0.0568523 ]",DE_B_7
IR_7_FE_DE_12_2HP,FE,2,1750,IR,7,DE,12000,10.112583333333333,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[ 0.15041493  0.04190826 -0.03492355 ... -0.09599916 -0.03768495
 -0.05279142]",FE_IR_7
OR@6_21_DE_DE_12_2HP,DE,2,1750,OR,21,DE,12000,10.190083333333334,3.5848,5.4152,4.7135,0.39828,0,1,0,2,"[-0.08771497 -0.00203044  0.09299411 ...  0.3934991  -0.00609132
 -0.36304251]",DE_OR_21
IR_14_FE_DE_12_2HP,FE,2,1750,IR,14,DE,12000,10.112583333333333,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[-0.09226315  0.09534942  0.06708571 ...  0.31707337  0.09648647
 -0.11614112]",FE_IR_14
IR_14_DE_FE_12_2HP,DE,2,1750,IR,14,FE,12000,10.153833333333333,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[-0.03965273 -0.01109455 -0.02917455 ... -0.01705273 -0.06759455
  0.06307455]",DE_IR_14
B_7_DE_FE_12_2HP,DE,2,1750,B,7,FE,12000,10.129666666666667,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[ 0.14792727 -0.04499455  0.10806909 ... -0.02177818 -0.08505818
 -0.01828545]",DE_B_7
OR@3_21_FE_DE_12_2HP,FE,2,1750,OR,21,DE,12000,10.051416666666666,3.5848,5.4152,4.7135,0.39828,0,0,0,0,"[-0.10607014 -0.0439387   0.14716623 ...  0.06944102 -0.06464918
 -0.06570501]",FE_OR_21
OR@3_21_FE_FE_12_2HP,FE,2,1750,OR,21,FE,12000,10.051416666666666,3.053,4.9469,3.9874,0.3817,0,1,0,2,"[-0.02048727 -0.08268078  0.08438805 ... -0.01691013  0.00382104
 -0.0624374 ]",FE_OR_21
B_21_FE_FE_12_1HP,FE,1,1772,B,21,FE,12000,10.112583333333333,3.053,4.9469,3.9874,0.3817,0,0,1,3,"[-0.1630039   0.01625974  0.16381688 ... -0.02154416 -0.11828961
 -0.01544675]",FE_B_21
OR@6_14_DE_FE_12_1HP,DE,1,1772,OR,14,FE,12000,10.178,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[-0.12121818  0.08875636  0.07848364 ... -0.20155091  0.17176
  0.09122182]",DE_OR_14
B_21_DE_FE_12_1HP,DE,1,1772,B,21,FE,12000,10.14175,3.053,4.9469,3.9874,0.3817,0,0,0,0,"[ 0.06492364  0.18922364 -0.04787091 ...  0.07273091 -0.11998545
  0.1017    ]",DE_B_21
